section,entry_type,jp,kana,meaning,example_jp,example_ko,extra_json,raw_ocr,level
명사,noun,愛好,あいこう,"애호, 좋아함",,,,"愛好 애호, 좋아함 あいこう",N1
명사,noun,愛想,あいそう,"붙임성, 상냥함",,,"{""note"": ""あいそ로도 읽음""}","愛想 붙임성, 상냥함(あいそ로도 읽음) あいそう",N1
명사,noun,間柄,あいだがら,관계,,,,間柄 관계 あいだがら,N1
명사,noun,あお向け,あおむけ,위를 향한 상태,,,,あお向け 위를 향한 상태 あおむけ,N1
명사,noun,証,あかし,증거,,,,証 증거 あかし,N1
명사,noun,悪臭,あくしゅう,악취,,,,悪臭 악취 あくしゅう,N1
명사,noun,朝飯前,あさめしまえ,식은 죽 먹기(매우 쉬운 일),,,,朝飯前 식은 죽 먹기(매우 쉬운 일) あさめしまえ,N1
명사,noun,斡旋,あっせん,알선,,,,斡旋 알선 あっせん,N1
명사,noun,圧倒,あっとう,압도,,,,圧倒 압도 あっとう,N1
명사,noun,圧迫,あっぱく,압박,,,,圧迫 압박 あっぱく,N1
명사,noun,圧力,あつりょく,압력,,,,圧力 압력 あつりょく,N1
명사,noun,後片付け,あとかたづけ,뒷정리,,,,後片付け 뒷정리 あとかたづけ,N1
명사,noun,跡継,あとつぎ,후계자,,,,跡継 후계자 あとつぎ,N1
명사,noun,後回し,あとまわし,"뒤로 미룸, 보류",,,,"後回し 뒤로 미룸, 보류 あとまわし",N1
명사,noun,油絵,あぶらえ,유화,,,,油絵 유화 あぶらえ,N1
명사,noun,天下り,あまくだ리,낙하산 인사,,,,天下り 낙하산 인사 あまくだり,N1
명사,noun,ありきたり,ありきたり,아주 흔함,,,,ありきたり 아주 흔함 ありきたり,N1
명사,noun,ありのまま,ありのまま,있는 그대로임,,,"{""year"": ""2011""}",ありのまま 2011 있는 그대로임,N1
명사,noun,暗算,あんざん,암산,,,,暗算 암산 あんざん,N1
명사,noun,暗示,あんじ,암시,,,,暗示 암시 あんじ,N1
명사,noun,安静,안세이,안정,,,"{""year"": ""2015""}",安静 2015 안정 あんせい,N1
명사,noun,安堵,あんど,"안도, 안심",,,"{""year"": ""2016""}","安堵 2016 안도, 안심 あんど",N1
명사,noun,言い分,いいぶん,"할말, 주장하고 싶은 말",,,,"言い分 할말, 주장하고 싶은 말 いいぶん",N1
